player_name,team_name,shot_distance,shot_attempted_flag,shot_made_flag,accuracy,shot_type,league_average
Clint Capela,Atlanta Hawks,0,203,152,0.75,2s,0.76
John Collins,Atlanta Hawks,0,72,64,0.89,2s,0.76
Justin Holiday,Atlanta Hawks,0,8,4,0.5,2s,0.76
Dejounte Murray,Atlanta Hawks,0,45,34,0.76,2s,0.76
De'Andre Hunter,Atlanta Hawks,0,50,40,0.8,2s,0.76
Aaron Holiday,Atlanta Hawks,0,15,13,0.87,2s,0.76
Onyeka Okongwu,Atlanta Hawks,0,142,120,0.85,2s,0.76
Jalen Johnson,Atlanta Hawks,0,52,39,0.75,2s,0.76
AJ Griffin,Atlanta Hawks,0,19,15,0.79,2s,0.76
Vit Krejci,Atlanta Hawks,0,7,5,0.71,2s,0.76
Trae Young,Atlanta Hawks,0,31,25,0.81,2s,0.76
Frank Kaminsky,Atlanta Hawks,0,2,2,1,2s,0.76
Trent Forrest,Atlanta Hawks,0,6,3,0.5,2s,0.76
Jarrett Culver,Atlanta Hawks,0,6,5,0.83,2s,0.76
Tyrese Martin,Atlanta Hawks,0,2,2,1,2s,0.76
Bogdan Bogdanovic,Atlanta Hawks,0,12,12,1,2s,0.76
Saddiq Bey,Atlanta Hawks,0,31,21,0.68,2s,0.76
Bruno Fernando,Atlanta Hawks,0,4,4,1,2s,0.76
Garrison Mathews,Atlanta Hawks,0,1,1,1,2s,0.76
Jayson Tatum,Boston Celtics,0,88,71,0.81,2s,0.76
Jaylen Brown,Boston Celtics,0,56,40,0.71,2s,0.76
Noah Vonleh,Boston Celtics,0,9,7,0.78,2s,0.76
Grant Williams,Boston Celtics,0,12,11,0.92,2s,0.76
Malcolm Brogdon,Boston Celtics,0,32,20,0.63,2s,0.76
Derrick White,Boston Celtics,0,33,25,0.76,2s,0.76
Al Horford,Boston Celtics,0,21,14,0.67,2s,0.76
Blake Griffin,Boston Celtics,0,20,13,0.65,2s,0.76
Luke Kornet,Boston Celtics,0,54,37,0.69,2s,0.76
Marcus Smart,Boston Celtics,0,18,12,0.67,2s,0.76
Sam Hauser,Boston Celtics,0,10,6,0.6,2s,0.76
Payton Pritchard,Boston Celtics,0,9,6,0.67,2s,0.76
Robert Williams III,Boston Celtics,0,47,39,0.83,2s,0.76
Justin Jackson,Boston Celtics,0,1,1,1,2s,0.76
Mike Muscala,Boston Celtics,0,1,1,1,2s,0.76
Mfiondu Kabengele,Boston Celtics,0,1,1,1,2s,0.76
Jarrett Allen,Cleveland Cavaliers,0,130,107,0.82,2s,0.76
Cedi Osman,Cleveland Cavaliers,0,28,23,0.82,2s,0.76
Evan Mobley,Cleveland Cavaliers,0,146,130,0.89,2s,0.76
Kevin Love,Cleveland Cavaliers,0,17,9,0.53,2s,0.76
Dean Wade,Cleveland Cavaliers,0,8,7,0.88,2s,0.76
Donovan Mitchell,Cleveland Cavaliers,0,71,59,0.83,2s,0.76
Isaac Okoro,Cleveland Cavaliers,0,46,36,0.78,2s,0.76
Robin Lopez,Cleveland Cavaliers,0,8,8,1,2s,0.76
Caris LeVert,Cleveland Cavaliers,0,41,29,0.71,2s,0.76
Raul Neto,Cleveland Cavaliers,0,13,8,0.62,2s,0.76
Darius Garland,Cleveland Cavaliers,0,50,39,0.78,2s,0.76
Lamar Stevens,Cleveland Cavaliers,0,36,21,0.58,2s,0.76
Mamadi Diakite,Cleveland Cavaliers,0,3,3,1,2s,0.76
Isaiah Mobley,Cleveland Cavaliers,0,3,2,0.67,2s,0.76
Ricky Rubio,Cleveland Cavaliers,0,3,1,0.33,2s,0.76
Jonas Valanciunas,New Orleans Pelicans,0,146,107,0.73,2s,0.76
Zion Williamson,New Orleans Pelicans,0,69,57,0.83,2s,0.76
Larry Nance Jr.,New Orleans Pelicans,0,59,47,0.8,2s,0.76
Trey Murphy III,New Orleans Pelicans,0,64,56,0.88,2s,0.76
