team_name,shot_distance,shot_attempted_flag,shot_made_flag,accuracy,shot_type
"Atlanta Hawks",36,3,2,0.67,3s
"Atlanta Hawks",24,358,128,0.36,3s
"Atlanta Hawks",25,728,256,0.35,3s
"Atlanta Hawks",3,303,139,0.46,2s
"Atlanta Hawks",4,236,98,0.42,2s
"Atlanta Hawks",2,493,286,0.58,2s
"Atlanta Hawks",18,134,63,0.47,2s
"Atlanta Hawks",17,127,51,0.40,2s
"Atlanta Hawks",10,208,103,0.50,2s
"Atlanta Hawks",0,708,561,0.79,2s
"Atlanta Hawks",6,192,87,0.45,2s
"Atlanta Hawks",1,720,493,0.68,2s
"Atlanta Hawks",27,142,46,0.32,3s
"Atlanta Hawks",13,138,65,0.47,2s
"Atlanta Hawks",11,222,113,0.51,2s
"Atlanta Hawks",23,402,155,0.39,"2s or3s"
"Atlanta Hawks",26,456,154,0.34,3s
"Atlanta Hawks",22,273,95,0.35,"2s or3s"
"Atlanta Hawks",15,138,62,0.45,2s
"Atlanta Hawks",7,173,86,0.50,2s
"Atlanta Hawks",12,198,100,0.51,2s
"Atlanta Hawks",5,199,76,0.38,2s
"Atlanta Hawks",19,95,47,0.49,2s
"Atlanta Hawks",8,152,68,0.45,2s
"Atlanta Hawks",16,172,87,0.51,2s
"Atlanta Hawks",9,168,73,0.43,2s
"Atlanta Hawks",20,67,24,0.36,2s
"Atlanta Hawks",30,34,13,0.38,3s
"Atlanta Hawks",32,13,5,0.38,3s
"Atlanta Hawks",21,62,20,0.32,"2s or3s"
"Atlanta Hawks",14,124,59,0.48,2s
"Atlanta Hawks",33,7,3,0.43,3s
"Atlanta Hawks",37,2,1,0.50,3s
"Atlanta Hawks",29,32,14,0.44,3s
"Atlanta Hawks",28,51,18,0.35,3s
"Atlanta Hawks",34,3,1,0.33,3s
"Atlanta Hawks",35,5,2,0.40,3s
"Atlanta Hawks",48,1,0,0.00,3s
"Atlanta Hawks",31,23,4,0.17,3s
"Atlanta Hawks",42,1,0,0.00,3s
"Atlanta Hawks",45,1,0,0.00,3s
"Atlanta Hawks",54,1,0,0.00,3s
"Atlanta Hawks",53,2,0,0.00,3s
"Atlanta Hawks",47,2,0,0.00,3s
"Atlanta Hawks",41,1,0,0.00,3s
"Atlanta Hawks",43,2,0,0.00,3s
"Atlanta Hawks",51,1,0,0.00,3s
"Atlanta Hawks",40,1,0,0.00,3s
"Boston Celtics",13,80,37,0.46,2s
"Boston Celtics",23,479,194,0.41,"2s or3s"
"Boston Celtics",1,551,430,0.78,2s
"Boston Celtics",2,593,404,0.68,2s
"Boston Celtics",0,412,304,0.74,2s
"Boston Celtics",29,50,18,0.36,3s
"Boston Celtics",5,206,99,0.48,2s
"Boston Celtics",25,895,351,0.39,3s
"Boston Celtics",22,201,83,0.41,"2s or3s"
"Boston Celtics",24,438,161,0.37,3s
"Boston Celtics",6,154,62,0.40,2s
"Boston Celtics",26,892,317,0.36,3s
"Boston Celtics",11,83,36,0.43,2s
"Boston Celtics",10,80,36,0.45,2s
"Boston Celtics",21,30,11,0.37,"2s or3s"
"Boston Celtics",28,113,41,0.36,3s
"Boston Celtics",9,117,48,0.41,2s
"Boston Celtics",15,70,32,0.46,2s
"Boston Celtics",19,60,23,0.38,2s
"Boston Celtics",8,112,50,0.45,2s
"Boston Celtics",12,74,38,0.51,2s
"Boston Celtics",16,62,23,0.37,2s
"Boston Celtics",18,68,30,0.44,2s
"Boston Celtics",3,407,214,0.53,2s
"Boston Celtics",17,66,28,0.42,2s
"Boston Celtics",27,405,148,0.37,3s
"Boston Celtics",4,278,127,0.46,2s
"Boston Celtics",7,134,52,0.39,2s
"Boston Celtics",14,87,40,0.46,2s
"Boston Celtics",51,1,0,0.00,3s
"Boston Celtics",20,40,16,0.40,2s
"Boston Celtics",49,2,0,0.00,3s
"Boston Celtics",77,1,0,0.00,3s
"Boston Celtics",30,15,4,0.27,3s
"Boston Celtics",31,6,2,0.33,3s
"Boston Celtics",32,1,0,0.00,3s
"Boston Celtics",43,1,0,0.00,3s
"Boston Celtics",64,1,0,0.00,3s
"Boston Celtics",35,1,0,0.00,3s
"Boston Celtics",33,3,1,0.33,3s
"Boston Celtics",39,1,0,0.00,3s
"Boston Celtics",53,1,0,0.00,3s
"Boston Celtics",41,1,0,0.00,3s
"Boston Celtics",44,1,0,0.00,3s
"Boston Celtics",47,1,0,0.00,3s
"Boston Celtics",56,1,0,0.00,3s
"Boston Celtics",74,1,0,0.00,3s
"Boston Celtics",36,1,0,0.00,3s
"Boston Celtics",60,1,0,0.00,3s
"Cleveland Cavaliers",21,30,11,0.37,"2s or3s"
"Cleveland Cavaliers",23,409,151,0.37,"2s or3s"
"Cleveland Cavaliers",26,557,200,0.36,3s
"Cleveland Cavaliers",2,457,258,0.56,2s
"Cleveland Cavaliers",10,160,78,0.49,2s
"Cleveland Cavaliers",13,94,43,0.46,2s
"Cleveland Cavaliers",3,248,113,0.46,2s
"Cleveland Cavaliers",7,221,90,0.41,2s
"Cleveland Cavaliers",20,56,22,0.39,2s
"Cleveland Cavaliers",0,603,482,0.80,2s
"Cleveland Cavaliers",27,192,72,0.38,3s
"Cleveland Cavaliers",28,103,49,0.48,3s
"Cleveland Cavaliers",4,173,82,0.47,2s
"Cleveland Cavaliers",19,62,21,0.34,2s
"Cleveland Cavaliers",25,723,264,0.37,3s
"Cleveland Cavaliers",8,175,82,0.47,2s
"Cleveland Cavaliers",12,117,46,0.39,2s
"Cleveland Cavaliers",6,190,75,0.39,2s
"Cleveland Cavaliers",24,339,125,0.37,3s
"Cleveland Cavaliers",22,157,52,0.33,"2s or3s"
"Cleveland Cavaliers",16,68,33,0.49,2s
"Cleveland Cavaliers",1,907,667,0.74,2s
"Cleveland Cavaliers",17,91,35,0.38,2s
"Cleveland Cavaliers",11,139,67,0.48,2s
"Cleveland Cavaliers",30,31,14,0.45,3s
"Cleveland Cavaliers",9,178,88,0.49,2s
"Cleveland Cavaliers",5,202,84,0.42,2s
"Cleveland Cavaliers",73,1,0,0.00,3s
"Cleveland Cavaliers",15,75,27,0.36,2s
"Cleveland Cavaliers",29,41,13,0.32,3s
"Cleveland Cavaliers",18,52,15,0.29,2s
"Cleveland Cavaliers",14,73,32,0.44,2s
"Cleveland Cavaliers",47,1,0,0.00,3s
"Cleveland Cavaliers",34,2,0,0.00,3s
"Cleveland Cavaliers",31,22,9,0.41,3s
"Cleveland Cavaliers",63,1,0,0.00,3s
"Cleveland Cavaliers",32,13,4,0.31,3s
"Cleveland Cavaliers",33,7,2,0.29,3s
"Cleveland Cavaliers",67,1,0,0.00,3s
"Cleveland Cavaliers",50,1,0,0.00,3s
"Cleveland Cavaliers",41,2,0,0.00,3s
"Cleveland Cavaliers",36,1,0,0.00,3s
"Cleveland Cavaliers",38,1,1,1.00,3s
"Cleveland Cavaliers",51,1,0,0.00,3s
"Cleveland Cavaliers",37,2,1,0.50,3s
"Cleveland Cavaliers",35,1,0,0.00,3s
"Cleveland Cavaliers",71,1,0,0.00,3s
"Cleveland Cavaliers",49,1,0,0.00,3s
"Cleveland Cavaliers",44,1,0,0.00,3s
"Cleveland Cavaliers",48,1,0,0.00,3s
"New Orleans Pelicans",3,418,222,0.53,2s
"New Orleans Pelicans",0,558,437,0.78,2s
"New Orleans Pelicans",4,290,123,0.42,2s
"New Orleans Pelicans",1,629,456,0.72,2s
"New Orleans Pelicans",25,706,253,0.36,3s
"New Orleans Pelicans",17,98,37,0.38,2s
"New Orleans Pelicans",2,688,413,0.60,2s
"New Orleans Pelicans",14,119,59,0.50,2s
"New Orleans Pelicans",13,99,44,0.44,2s
"New Orleans Pelicans",20,48,18,0.38,2s
"New Orleans Pelicans",5,239,97,0.41,2s
"New Orleans Pelicans",26,522,190,0.36,3s
"New Orleans Pelicans",22,211,73,0.35,"2s or3s"
"New Orleans Pelicans",11,131,61,0.47,2s
"New Orleans Pelicans",8,134,53,0.40,2s
"New Orleans Pelicans",24,336,136,0.40,3s
"New Orleans Pelicans",10,144,72,0.50,2s
"New Orleans Pelicans",16,107,32,0.30,2s
"New Orleans Pelicans",12,127,56,0.44,2s
"New Orleans Pelicans",9,146,53,0.36,2s
"New Orleans Pelicans",21,29,9,0.31,"2s or3s"
"New Orleans Pelicans",23,341,120,0.35,"2s or3s"
"New Orleans Pelicans",15,102,54,0.53,2s
"New Orleans Pelicans",7,192,80,0.42,2s
"New Orleans Pelicans",31,5,2,0.40,3s
"New Orleans Pelicans",6,227,105,0.46,2s
"New Orleans Pelicans",27,204,75,0.37,3s
"New Orleans Pelicans",28,79,29,0.37,3s
"New Orleans Pelicans",18,87,33,0.38,2s
"New Orleans Pelicans",19,63,24,0.38,2s
"New Orleans Pelicans",29,47,20,0.43,3s
"New Orleans Pelicans",46,1,0,0.00,3s
"New Orleans Pelicans",49,1,0,0.00,3s
