,xlocs,ylocs,shot_zone
0,-250.0000005,422.5,zone19
1,-250.0000005,406.2931034,zone19
2,-250.0000005,390.0862069,zone19
3,-250.0000005,373.8793103,zone19
4,-250.0000005,357.6724138,zone19
5,-250.0000005,341.4655172,zone19
6,-250.0000005,325.2586207,zone19
7,-250.0000005,309.0517241,zone19
8,-250.0000005,292.8448276,zone19
9,-250.0000005,276.637931,zone19
10,-250.0000005,260.4310345,zone19
11,-250.0000005,244.2241379,zone19
12,-250.0000005,228.0172414,zone19
13,-250.0000005,211.8103448,zone19
14,-250.0000005,195.6034483,zone15
15,-250.0000005,179.3965517,zone15
16,-250.0000005,163.1896552,zone15
17,-250.0000005,146.9827586,zone15
18,-250.0000005,130.7758621,zone15
19,-250.0000005,114.5689655,zone13
20,-250.0000005,98.36206897,zone13
21,-250.0000005,82.15517241,zone10
22,-250.0000005,65.94827586,zone10
23,-250.0000005,49.74137931,zone10
24,-250.0000005,33.53448276,zone10
25,-250.0000005,17.32758621,zone10
26,-250.0000005,1.120689655,zone10
27,-250.0000005,-15.0862069,zone10
28,-250.0000005,-31.29310345,zone10
29,-250.0000005,-47.5,zone10
30,-240.1960789,422.5,zone19
31,-240.1960789,406.2931034,zone19
32,-240.1960789,390.0862069,zone19
33,-240.1960789,373.8793103,zone19
34,-240.1960789,357.6724138,zone19
35,-240.1960789,341.4655172,zone19
36,-240.1960789,325.2586207,zone19
37,-240.1960789,309.0517241,zone19
38,-240.1960789,292.8448276,zone19
39,-240.1960789,276.637931,zone19
40,-240.1960789,260.4310345,zone19
41,-240.1960789,244.2241379,zone19
42,-240.1960789,228.0172414,zone19
43,-240.1960789,211.8103448,zone19
44,-240.1960789,195.6034483,zone15
45,-240.1960789,179.3965517,zone15
46,-240.1960789,163.1896552,zone15
47,-240.1960789,146.9827586,zone15
48,-240.1960789,130.7758621,zone13
49,-240.1960789,114.5689655,zone13
50,-240.1960789,98.36206897,zone13
51,-240.1960789,82.15517241,zone10
52,-240.1960789,65.94827586,zone10
53,-240.1960789,49.74137931,zone10
54,-240.1960789,33.53448276,zone10
55,-240.1960789,17.32758621,zone10
56,-240.1960789,1.120689655,zone10
57,-240.1960789,-15.0862069,zone10
58,-240.1960789,-31.29310345,zone10
59,-240.1960789,-47.5,zone10
60,-230.3921573,422.5,zone19
61,-230.3921573,406.2931034,zone19
62,-230.3921573,390.0862069,zone19
63,-230.3921573,373.8793103,zone19
64,-230.3921573,357.6724138,zone19
65,-230.3921573,341.4655172,zone19
66,-230.3921573,325.2586207,zone19
67,-230.3921573,309.0517241,zone19
68,-230.3921573,292.8448276,zone19
69,-230.3921573,276.637931,zone19
70,-230.3921573,260.4310345,zone19
71,-230.3921573,244.2241379,zone19
72,-230.3921573,228.0172414,zone19
73,-230.3921573,211.8103448,zone15
74,-230.3921573,195.6034483,zone15
75,-230.3921573,179.3965517,zone15
76,-230.3921573,163.1896552,zone15
77,-230.3921573,146.9827586,zone13
78,-230.3921573,130.7758621,zone13
79,-230.3921573,114.5689655,zone13
80,-230.3921573,98.36206897,zone13
81,-230.3921573,82.15517241,zone10
82,-230.3921573,65.94827586,zone10
83,-230.3921573,49.74137931,zone10
84,-230.3921573,33.53448276,zone10
85,-230.3921573,17.32758621,zone10
86,-230.3921573,1.120689655,zone10
87,-230.3921573,-15.0862069,zone10
88,-230.3921573,-31.29310345,zone10
89,-230.3921573,-47.5,zone10
90,-220.5882357,422.5,zone19
91,-220.5882357,406.2931034,zone19
92,-220.5882357,390.0862069,zone19
93,-220.5882357,373.8793103,zone19
94,-220.5882357,357.6724138,zone19
95,-220.5882357,341.4655172,zone19
96,-220.5882357,325.2586207,zone19
97,-220.5882357,309.0517241,zone19
98,-220.5882357,292.8448276,zone19
99,-220.5882357,276.637931,zone19
100,-220.5882357,260.4310345,zone19
101,-220.5882357,244.2241379,zone19
102,-220.5882357,228.0172414,zone15
103,-220.5882357,211.8103448,zone15
104,-220.5882357,195.6034483,zone15
105,-220.5882357,179.3965517,zone15
106,-220.5882357,163.1896552,zone13
107,-220.5882357,146.9827586,zone13
108,-220.5882357,130.7758621,zone13
109,-220.5882357,114.5689655,zone13
110,-220.5882357,98.36206897,zone13
111,-220.5882357,82.15517241,zone10
112,-220.5882357,65.94827586,zone10
113,-220.5882357,49.74137931,zone10
114,-220.5882357,33.53448276,zone10
115,-220.5882357,17.32758621,zone10
116,-220.5882357,1.120689655,zone10
117,-220.5882357,-15.0862069,zone10
118,-220.5882357,-31.29310345,zone10
119,-220.5882357,-47.5,zone10
120,-210.7843141,422.5,zone19
121,-210.7843141,406.2931034,zone19
122,-210.7843141,390.0862069,zone19
123,-210.7843141,373.8793103,zone19
124,-210.7843141,357.6724138,zone19
125,-210.7843141,341.4655172,zone19
126,-210.7843141,325.2586207,zone19
127,-210.7843141,309.0517241,zone19
128,-210.7843141,292.8448276,zone19
129,-210.7843141,276.637931,zone19
130,-210.7843141,260.4310345,zone19
131,-210.7843141,244.2241379,zone19
132,-210.7843141,228.0172414,zone15
133,-210.7843141,211.8103448,zone15
134,-210.7843141,195.6034483,zone15
135,-210.7843141,179.3965517,zone13
136,-210.7843141,163.1896552,zone13
137,-210.7843141,146.9827586,zone13
138,-210.7843141,130.7758621,zone13
139,-210.7843141,114.5689655,zone13
140,-210.7843141,98.36206897,zone6
141,-210.7843141,82.15517241,zone6
142,-210.7843141,65.94827586,zone6
143,-210.7843141,49.74137931,zone6
144,-210.7843141,33.53448276,zone6
145,-210.7843141,17.32758621,zone6
146,-210.7843141,1.120689655,zone6
147,-210.7843141,-15.0862069,zone6
148,-210.7843141,-31.29310345,zone6
149,-210.7843141,-47.5,zone6
150,-200.9803926,422.5,zone19
151,-200.9803926,406.2931034,zone19
152,-200.9803926,390.0862069,zone19
153,-200.9803926,373.8793103,zone19
154,-200.9803926,357.6724138,zone19
155,-200.9803926,341.4655172,zone19
156,-200.9803926,325.2586207,zone19
157,-200.9803926,309.0517241,zone19
158,-200.9803926,292.8448276,zone19
159,-200.9803926,276.637931,zone19
160,-200.9803926,260.4310345,zone19
161,-200.9803926,244.2241379,zone15
162,-200.9803926,228.0172414,zone15
163,-200.9803926,211.8103448,zone15
164,-200.9803926,195.6034483,zone15
165,-200.9803926,179.3965517,zone13
166,-200.9803926,163.1896552,zone13
167,-200.9803926,146.9827586,zone13
168,-200.9803926,130.7758621,zone13
169,-200.9803926,114.5689655,zone6
170,-200.9803926,98.36206897,zone6
171,-200.9803926,82.15517241,zone6
172,-200.9803926,65.94827586,zone6
173,-200.9803926,49.74137931,zone6
174,-200.9803926,33.53448276,zone6
175,-200.9803926,17.32758621,zone6
176,-200.9803926,1.120689655,zone6
177,-200.9803926,-15.0862069,zone6
178,-200.9803926,-31.29310345,zone6
179,-200.9803926,-47.5,zone6
180,-191.176471,422.5,zone19
181,-191.176471,406.2931034,zone19
182,-191.176471,390.0862069,zone19
183,-191.176471,373.8793103,zone19
184,-191.176471,357.6724138,zone19
185,-191.176471,341.4655172,zone19
186,-191.176471,325.2586207,zone19
187,-191.176471,309.0517241,zone19
188,-191.176471,292.8448276,zone19
189,-191.176471,276.637931,zone19
190,-191.176471,260.4310345,zone19
191,-191.176471,244.2241379,zone15
192,-191.176471,228.0172414,zone15
193,-191.176471,211.8103448,zone15
194,-191.176471,195.6034483,zone13
195,-191.176471,179.3965517,zone13
196,-191.176471,163.1896552,zone13
197,-191.176471,146.9827586,zone13
198,-191.176471,130.7758621,zone6
199,-191.176471,114.5689655,zone6
200,-191.176471,98.36206897,zone6
